iter	MultiClass
0	1.018065219
1	0.9733528055
2	0.9342512756
3	0.8848070808
4	0.8470305997
5	0.8114291724
6	0.7754134286
7	0.7353296865
8	0.7045988808
9	0.6893377748
10	0.6635548558
11	0.6344578528
12	0.6213088872
13	0.5887545208
14	0.5743727035
15	0.5592816769
16	0.5431297396
17	0.5247479451
18	0.5100128435
19	0.5017382691
20	0.4886065407
21	0.4761593476
22	0.4674187196
23	0.4500978532
24	0.4391855287
25	0.4320167304
26	0.411528554
27	0.4013165782
28	0.3929351262
29	0.3853843506
30	0.3807451331
31	0.3766406643
32	0.3664676949
33	0.3638103448
34	0.3601030382
35	0.3501005287
36	0.3465068772
37	0.3421466363
38	0.3395481233
39	0.3365668969
40	0.3325748243
41	0.3205182622
42	0.3160389708
43	0.3082618143
44	0.3037499701
45	0.2890886267
46	0.2825995431
47	0.2779596093
48	0.2734440359
49	0.2656066862
50	0.258514637
51	0.2535492059
52	0.2440215999
53	0.2372924602
54	0.2327218991
55	0.2288089166
56	0.223480827
57	0.2160443263
58	0.208920429
59	0.2031636994
60	0.2013424402
61	0.193120618
62	0.1863490588
63	0.1823032678
64	0.1795139889
65	0.1750273722
66	0.1731214041
67	0.1710712051
68	0.1661479833
69	0.1636871451
70	0.1603909161
71	0.1575899698
72	0.1525668075
73	0.1493127538
74	0.1461089805
75	0.1425834839
76	0.1379480888
77	0.1350754706
78	0.1332920751
79	0.1305892211
80	0.1281293927
81	0.1251769452
82	0.1223911509
83	0.1208588394
84	0.1178896234
85	0.1154781539
86	0.1116162699
87	0.1090234252
88	0.10713253
89	0.1056026208
90	0.1034185437
91	0.1012803817
92	0.09942037895
93	0.09776275104
94	0.09525495635
95	0.09225410654
96	0.09073970768
97	0.08804572572
98	0.08664904213
99	0.08516497762
100	0.0838125072
101	0.08254405257
102	0.08048609592
103	0.07942744299
104	0.07803722437
105	0.07684793492
106	0.07573363735
107	0.074302649
108	0.07406900562
109	0.07252161027
110	0.0715908629
111	0.06934905879
112	0.06849736468
113	0.06740656477
114	0.06645582042
115	0.06535123553
116	0.06478220694
117	0.06344845092
118	0.06220969928
119	0.06035303951
120	0.05968270766
121	0.05916619198
122	0.05814888343
123	0.05729048078
124	0.05565608043
125	0.05481650234
126	0.05406233544
127	0.05362767783
128	0.05223342446
129	0.05147865113
130	0.05086050589
131	0.05026479632
132	0.04972428315
133	0.04882346527
134	0.04814627063
135	0.04747442634
136	0.0469339177
137	0.04643341703
138	0.04603544488
139	0.04556366502
140	0.04471634684
141	0.0444632026
142	0.04407851775
143	0.04313899172
144	0.0425305381
145	0.04143294553
146	0.04116550672
147	0.04038324887
148	0.0399353904
149	0.03953979679
150	0.03916615694
151	0.03884238377
152	0.0380498645
153	0.03767480394
154	0.03728933322
155	0.03655939158
156	0.03636291834
157	0.03612409863
158	0.03584736236
159	0.03546476865
160	0.03526183609
161	0.03444137133
162	0.03400382192
